created_at,entry_id,field4
2021-02-14 09:28:39 UTC,616120,34.388664
2021-02-14 09:29:09 UTC,616121,34.388664
2021-02-14 09:29:39 UTC,616122,34.388664
2021-02-14 09:30:09 UTC,616123,34.388664
2021-02-14 12:07:13 UTC,616124,67.620094
2021-02-14 12:07:43 UTC,616125,67.620094
2021-02-14 12:08:15 UTC,616126,433.498901
2021-02-14 12:08:45 UTC,616127,433.498901
2021-02-14 12:09:15 UTC,616128,433.498901
2021-02-14 12:09:45 UTC,616129,433.498901
2021-02-14 12:10:23 UTC,616130,112.331329
2021-02-14 12:10:55 UTC,616131,44.344818
2021-02-14 12:11:25 UTC,616132,44.344818
2021-02-14 12:11:55 UTC,616133,44.344818
2021-02-14 12:12:25 UTC,616134,44.344818
2021-02-14 12:12:55 UTC,616135,44.344818
2021-02-14 12:13:30 UTC,616136,277.785339
2021-02-14 12:14:00 UTC,616137,277.785339
2021-02-14 12:14:30 UTC,616138,277.785339
2021-02-14 12:15:00 UTC,616139,277.785339
2021-02-14 12:15:30 UTC,616140,277.785339
2021-02-14 12:16:03 UTC,616141,75.209984
2021-02-14 12:16:37 UTC,616142,75.209984
2021-02-14 12:17:07 UTC,616143,75.209984
2021-02-14 12:17:37 UTC,616144,75.209984
2021-02-14 12:18:08 UTC,616145,75.209984
2021-02-14 12:18:38 UTC,616146,75.209984
2021-02-14 12:19:08 UTC,616147,75.209984
2021-02-14 12:19:43 UTC,616148,75.209984
2021-02-14 12:20:13 UTC,616149,75.209984
2021-02-14 12:20:43 UTC,616150,139.626328
2021-02-14 12:21:13 UTC,616151,139.626328
2021-02-14 12:21:43 UTC,616152,139.626328
2021-02-14 12:22:16 UTC,616153,185.917191
2021-02-14 12:22:53 UTC,616154,109.792244
2021-02-14 12:23:23 UTC,616155,109.792244
2021-02-14 12:23:53 UTC,616156,109.792244
2021-02-14 12:24:23 UTC,616157,109.792244
2021-02-14 12:24:53 UTC,616158,109.792244
2021-02-14 12:25:23 UTC,616159,109.792244
2021-02-14 12:25:58 UTC,616160,109.792244
2021-02-14 12:26:28 UTC,616161,109.792244
2021-02-14 12:26:58 UTC,616162,109.792244
2021-02-14 12:27:28 UTC,616163,109.792244
2021-02-14 12:27:58 UTC,616164,109.792244
2021-02-14 12:28:28 UTC,616165,18.824055
2021-02-14 12:29:04 UTC,616166,18.824055
2021-02-14 12:29:34 UTC,616167,18.824055
2021-02-14 12:30:04 UTC,616168,18.824055
2021-02-14 12:30:34 UTC,616169,18.824055
2021-02-14 12:31:04 UTC,616170,18.824055
2021-02-14 12:31:34 UTC,616171,18.824055
2021-02-14 12:32:09 UTC,616172,18.824055
2021-02-14 12:32:39 UTC,616173,18.824055
2021-02-14 12:33:09 UTC,616174,18.824055
2021-02-14 12:33:39 UTC,616175,18.824055
2021-02-14 12:34:10 UTC,616176,36.326420
2021-02-14 12:34:40 UTC,616177,36.326420
2021-02-14 12:35:15 UTC,616178,36.326420
2021-02-14 12:35:45 UTC,616179,36.326420
2021-02-14 12:36:17 UTC,616180,100.965652
2021-02-14 12:36:50 UTC,616181,236.054184
2021-02-14 12:37:20 UTC,616182,236.054184
2021-02-14 12:37:50 UTC,616183,236.054184
2021-02-14 12:38:27 UTC,616184,237.960999
2021-02-14 12:38:57 UTC,616185,173.611557
2021-02-14 12:39:27 UTC,616186,173.611557
2021-02-14 12:39:58 UTC,616187,173.611557
2021-02-14 12:40:28 UTC,616188,173.611557
2021-02-14 12:40:58 UTC,616189,173.611557
2021-02-14 12:41:33 UTC,616190,173.611557
2021-02-14 12:42:03 UTC,616191,173.611557
2021-02-14 12:42:33 UTC,616192,173.611557
2021-02-14 12:43:03 UTC,616193,173.611557
2021-02-14 12:43:33 UTC,616194,173.611557
2021-02-14 12:44:03 UTC,616195,173.611557
2021-02-14 12:44:38 UTC,616196,173.611557
2021-02-14 12:45:08 UTC,616197,173.611557
2021-02-14 12:45:38 UTC,616198,173.611557
2021-02-14 12:46:08 UTC,616199,173.611557
2021-02-14 12:46:40 UTC,616200,177.457184
2021-02-14 12:47:10 UTC,616201,177.457184
2021-02-14 12:47:45 UTC,616202,177.457184
2021-02-14 12:48:17 UTC,616203,216.516800
2021-02-14 12:48:47 UTC,616204,216.516800
2021-02-14 12:49:17 UTC,616205,216.516800
2021-02-14 12:49:49 UTC,616206,119.748955
2021-02-14 12:50:20 UTC,616207,64.733932
2021-02-14 12:50:56 UTC,616208,52.560596
2021-02-14 12:51:26 UTC,616209,52.560596
2021-02-14 12:51:57 UTC,616210,82.967949
2021-02-14 12:52:27 UTC,616211,82.967949
2021-02-14 12:52:59 UTC,616212,48.653736
2021-02-14 12:53:29 UTC,616213,48.653736
2021-02-14 12:54:04 UTC,616214,48.653736
2021-02-14 12:54:34 UTC,616215,48.653736
2021-02-14 12:55:04 UTC,616216,48.653736
2021-02-14 12:55:34 UTC,616217,48.653736
2021-02-14 12:56:04 UTC,616218,48.653736
2021-02-14 12:56:34 UTC,616219,48.653736
